case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,waccm,0.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.201,10.47,65.51,0.591,147.0,6.871,7.94,8.393
pal0p1,0.1% PAL,waccm,5.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.149,10.4,65.19,0.586,145.9,6.819,7.882,8.333
pal0p1,0.1% PAL,waccm,10.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.997,10.21,64.22,0.5715,142.9,6.669,7.715,8.159
pal0p1,0.1% PAL,waccm,15.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.746,9.904,62.62,0.5476,137.8,6.422,7.438,7.871
pal0p1,0.1% PAL,waccm,20.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.402,9.477,60.4,0.5153,131.0,6.086,7.061,7.479
pal0p1,0.1% PAL,waccm,25.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.971,8.943,57.6,0.4755,122.4,5.669,6.592,6.992
pal0p1,0.1% PAL,waccm,30.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.464,8.312,54.25,0.4297,112.4,5.185,6.046,6.423
pal0p1,0.1% PAL,waccm,35.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.892,7.599,50.39,0.3793,101.3,4.645,5.437,5.788
pal0p1,0.1% PAL,waccm,40.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.268,6.818,46.07,0.3263,89.25,4.069,4.784,5.105
pal0p1,0.1% PAL,waccm,45.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,4.608,5.989,41.37,0.2725,76.74,3.473,4.106,4.395
pal0p1,0.1% PAL,waccm,48.2,18.2939,b.e21.BWma1850.f19_g17.0.1pc_o2.001.cam.h0.0080-0083.nc,4.018,5.283,38.18,0.2088,63.75,2.831,3.395,3.662
pal0p1,0.1% PAL,waccm,50.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.929,5.133,36.35,0.2201,64.13,2.879,3.425,3.68
pal0p1,0.1% PAL,waccm,55.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.253,4.274,31.11,0.1712,51.85,2.306,2.765,2.983
pal0p1,0.1% PAL,waccm,60.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,2.598,3.436,25.76,0.1274,40.32,1.776,2.148,2.329
pal0p1,0.1% PAL,waccm,65.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.988,2.647,20.45,0.09029,29.93,1.306,1.594,1.738
pal0p1,0.1% PAL,waccm,70.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.439,1.932,15.33,0.06055,21.0,0.9078,1.12,1.228
pal0p1,0.1% PAL,waccm,75.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.9677,1.309,10.62,0.03809,13.7,0.5883,0.7328,0.8077
pal0p1,0.1% PAL,waccm,80.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.5806,0.7904,6.507,0.02198,8.044,0.3443,0.4323,0.478
pal0p1,0.1% PAL,waccm,85.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.2783,0.3797,3.15,0.01067,3.856,0.1654,0.2082,0.2303
pal0p1,0.1% PAL,waccm_eq,0.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.298,10.56,65.51,0.6138,150.2,7.052,8.128,8.581
pal0p1,0.1% PAL,waccm_eq,5.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.246,10.5,65.19,0.609,149.1,7.001,8.072,8.523
pal0p1,0.1% PAL,waccm_eq,10.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.092,10.31,64.22,0.5938,146.0,6.847,7.9,8.344
pal0p1,0.1% PAL,waccm_eq,15.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.838,9.997,62.62,0.5691,140.9,6.593,7.616,8.05
pal0p1,0.1% PAL,waccm_eq,20.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.49,9.567,60.41,0.5357,133.9,6.249,7.231,7.649
pal0p1,0.1% PAL,waccm_eq,25.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.054,9.027,57.61,0.4944,125.1,5.821,6.751,7.15
pal0p1,0.1% PAL,waccm_eq,30.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.541,8.391,54.25,0.447,114.9,5.325,6.193,6.57
pal0p1,0.1% PAL,waccm_eq,35.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.962,7.67,50.39,0.3947,103.5,4.771,5.569,5.92
pal0p1,0.1% PAL,waccm_eq,40.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.329,6.881,46.08,0.3394,91.24,4.178,4.898,5.219
pal0p1,0.1% PAL,waccm_eq,45.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,4.661,6.043,41.37,0.2834,78.44,3.565,4.202,4.491
pal0p1,0.1% PAL,waccm_eq,50.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.973,5.178,36.35,0.2287,65.51,2.952,3.502,3.757
pal0p1,0.1% PAL,waccm_eq,55.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.286,4.308,31.11,0.1774,52.89,2.361,2.823,3.041
pal0p1,0.1% PAL,waccm_eq,60.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,2.622,3.461,25.77,0.1315,41.04,1.813,2.187,2.368
pal0p1,0.1% PAL,waccm_eq,65.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,2.001,2.662,20.45,0.0925,30.35,1.326,1.616,1.76
